0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:13 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:22 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:47:54 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:15 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:48:16 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:49:38 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:49:39 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:49:39 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:49:39 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:49:39 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
